datetime,Open,High,Low,Close,Volume
2024-12-29 22:15:00,2624.688,2627.985,2624.304,2627.025,1491
2024-12-29 22:30:00,2627.025,2627.955,2626.494,2626.784,1011
2024-12-29 22:45:00,2626.814,2627.164,2625.324,2626.358,1252
2024-12-29 23:00:00,2626.358,2626.358,2623.054,2623.234,1168
2024-12-29 23:15:00,2623.294,2624.548,2623.034,2623.348,879
2024-12-29 23:30:00,2623.414,2623.474,2621.285,2622.448,1267
2024-12-29 23:45:00,2622.448,2623.448,2621.375,2621.975,1507
2024-12-30 00:00:00,2621.948,2623.455,2621.448,2623.215,1251
2024-12-30 00:15:00,2623.185,2624.025,2622.135,2622.348,1088
2024-12-30 00:30:00,2622.348,2622.448,2620.348,2622.065,2189
2024-12-30 00:45:00,2621.978,2623.695,2621.205,2623.538,1837
2024-12-30 01:00:00,2623.494,2624.515,2622.545,2622.685,2266
2024-12-30 01:15:00,2622.685,2623.215,2621.674,2622.848,1989
2024-12-30 01:30:00,2622.848,2622.948,2619.614,2620.025,1695
2024-12-30 01:45:00,2620.025,2620.025,2618.108,2618.948,2314
2024-12-30 02:00:00,2618.925,2619.715,2616.674,2618.768,2438
2024-12-30 02:15:00,2618.745,2619.765,2618.315,2618.778,1772
2024-12-30 02:30:00,2618.778,2619.048,2616.448,2616.745,1817
2024-12-30 02:45:00,2616.755,2617.515,2615.605,2616.535,1738
2024-12-30 03:00:00,2616.535,2617.225,2614.954,2615.148,2925
2024-12-30 03:15:00,2615.148,2615.755,2614.338,2614.948,3171
2024-12-30 03:30:00,2614.948,2615.848,2613.304,2613.655,2483
2024-12-30 03:45:00,2613.655,2614.005,2609.125,2611.775,2989
2024-12-30 04:00:00,2611.765,2613.348,2611.125,2612.948,1648
2024-12-30 04:15:00,2612.765,2616.285,2612.765,2616.148,1642
2024-12-30 04:30:00,2616.095,2617.348,2612.748,2612.848,2211
2024-12-30 04:45:00,2612.815,2614.398,2611.748,2612.508,2335
2024-12-30 05:00:00,2612.495,2614.648,2612.185,2613.808,1786
2024-12-30 05:15:00,2613.795,2615.048,2613.524,2614.215,1901
2024-12-30 05:30:00,2614.165,2614.365,2611.424,2612.325,2549
2024-12-30 05:45:00,2612.325,2612.875,2610.365,2610.365,2504
2024-12-30 06:00:00,2610.365,2614.075,2608.975,2612.835,3394
2024-12-30 06:15:00,2612.835,2616.465,2612.825,2615.895,2357
2024-12-30 06:30:00,2615.885,2618.315,2614.265,2618.175,2491
2024-12-30 06:45:00,2618.185,2618.425,2615.935,2616.125,1612
2024-12-30 07:00:00,2616.055,2618.245,2615.505,2617.805,1854
2024-12-30 07:15:00,2617.785,2618.425,2615.335,2618.035,1771
2024-12-30 07:30:00,2618.015,2619.865,2617.235,2618.494,2050
2024-12-30 07:45:00,2618.474,2622.325,2618.354,2621.355,1839
2024-12-30 08:00:00,2621.335,2622.335,2618.655,2618.925,4419
2024-12-30 08:15:00,2618.905,2622.425,2617.755,2621.605,5303
2024-12-30 08:30:00,2621.605,2622.175,2612.385,2613.028,4307
2024-12-30 08:45:00,2613.035,2614.255,2606.465,2606.555,4950
2024-12-30 09:00:00,2606.518,2612.145,2605.325,2611.885,4847
2024-12-30 09:15:00,2611.885,2613.745,2611.225,2612.245,3442
2024-12-30 09:30:00,2612.245,2612.245,2605.355,2606.098,3999
2024-12-30 09:45:00,2606.245,2611.814,2606.115,2611.144,5026
2024-12-30 10:00:00,2611.144,2611.404,2600.715,2603.735,6494
2024-12-30 10:15:00,2603.745,2605.755,2602.225,2602.744,5701
2024-12-30 10:30:00,2602.744,2603.465,2599.365,2602.355,5380
2024-12-30 10:45:00,2602.355,2604.265,2600.755,2601.375,4690
2024-12-30 11:00:00,2601.335,2602.645,2599.835,2600.155,4940
2024-12-30 11:15:00,2600.175,2601.425,2595.905,2596.145,5095
2024-12-30 11:30:00,2596.155,2600.495,2596.155,2600.465,2225
2024-12-30 11:45:00,2600.435,2600.625,2598.665,2599.575,2745
2024-12-30 12:00:00,2599.645,2603.595,2599.645,2603.045,2751
2024-12-30 12:15:00,2603.065,2603.835,2601.435,2603.035,3110
2024-12-30 12:30:00,2603.035,2603.665,2601.155,2602.025,2927
2024-12-30 12:45:00,2602.175,2605.348,2601.975,2605.075,3496
2024-12-30 13:00:00,2605.025,2605.375,2603.815,2604.665,2845
2024-12-30 13:15:00,2604.655,2606.215,2603.565,2604.875,2857
2024-12-30 13:30:00,2604.898,2605.605,2603.275,2604.435,1983
2024-12-30 13:45:00,2604.355,2606.655,2604.035,2606.025,2145
2024-12-30 14:00:00,2606.025,2606.545,2604.505,2604.875,2568
2024-12-30 14:15:00,2604.835,2605.515,2603.495,2604.225,2461
2024-12-30 14:30:00,2604.355,2607.095,2604.055,2606.985,2094
